Folder,Caption,File Path,Cleaned_Caption,Scam_Score_Caption,Label,Most_Frequent_Keywords,Scam_Detection,Cleaned_Text
bestdeals,Home Depot - DEWALT 20V MAX ToughSystem 6-Tool Combo Kit - $499 (Save $250) + Free Shipping,C:\Users\Asus\AppData\Local\Instaloader\Data\bestdeals\2025-02-26_21-03-21_UTC.txt,home depot dewalt 20v max toughsystem 6tool combo kit 499 save 250 free shipping,0,0,shipping,Scam,home depot  dewalt v max toughsystem tool combo kit   save   free shipping
bestdeals,Natural Australian opal doublets 6.35ct only $64 Reference coin is a penny 19mm or 3/4” please claim with me or mine First class usps shipping $6 international shipping $23 Canada $15 Please send dm if international first one to claim me or mine wins!!! #natural #bestdeals  #turquoise for sale #turquoiseterritory #turquoise over diamonds #cab #cabs #cabochon #cabochonmaker #cabsforsale #camericanturquoiseabsupplier # #turquoise #nevada #forsale #turquoiseoverdiamonds #cabsforsale #cabachonsupplier #cabachons #silversmith #turquoisejewelry #turquoiseterritory #cabsforsale #instasmithy #roystonturquoise #sonorangoldturquoise,C:\Users\Asus\AppData\Local\Instaloader\Data\bestdeals\2025-02-26_21-03-25_UTC.txt,natural australian opal doublets 635ct only 64 reference coin is a penny 19mm or 34 please claim with me or mine first class usps shipping 6 international shipping 23 canada 15 please send dm if international first one to claim me or mine wins natural bestdeals turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise,0,0,"one, shipping, australian, international, bestdeals, please, 15, turquoiseterritory, turquoise, dm, coin, cabsforsale, 6, claim, natural, first, sale, mine",Scam,natural australian opal doublets ct only  reference coin is a penny mm or  please claim with me or mine first class usps shipping  international shipping  canada  please send dm if international first one to claim me or mine wins natural bestdeals  turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier  turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise
bestdeals,Natural Australian opal doublets 3.5mm 4.24ct only $42 Reference coin is a penny 19mm or 3/4” please claim with me or mine First class usps shipping $6 international shipping $23 Canada $15 Please send dm if international first one to claim me or mine wins!!! #natural #bestdeals  #turquoise for sale #turquoiseterritory #turquoise over diamonds #cab #cabs #cabochon #cabochonmaker #cabsforsale #camericanturquoiseabsupplier # #turquoise #nevada #forsale #turquoiseoverdiamonds #cabsforsale #cabachonsupplier #cabachons #silversmith #turquoisejewelry #turquoiseterritory #cabsforsale #instasmithy #roystonturquoise #sonorangoldturquoise,C:\Users\Asus\AppData\Local\Instaloader\Data\bestdeals\2025-02-26_21-04-16_UTC.txt,natural australian opal doublets 35mm 424ct only 42 reference coin is a penny 19mm or 34 please claim with me or mine first class usps shipping 6 international shipping 23 canada 15 please send dm if international first one to claim me or mine wins natural bestdeals turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise,0,0,"one, shipping, australian, international, bestdeals, please, 15, turquoiseterritory, turquoise, dm, coin, cabsforsale, 6, claim, natural, first, sale, mine",Scam,natural australian opal doublets mm ct only  reference coin is a penny mm or  please claim with me or mine first class usps shipping  international shipping  canada  please send dm if international first one to claim me or mine wins natural bestdeals  turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier  turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise
bestdeals,Natural Australian opal doublets 4.35ct only $44 Reference coin is a penny 19mm or 3/4” please claim with me or mine First class usps shipping $6 international shipping $23 Canada $15 Please send dm if international first one to claim me or mine wins!!! #natural #bestdeals  #turquoise for sale #turquoiseterritory #turquoise over diamonds #cab #cabs #cabochon #cabochonmaker #cabsforsale #camericanturquoiseabsupplier # #turquoise #nevada #forsale #turquoiseoverdiamonds #cabsforsale #cabachonsupplier #cabachons #silversmith #turquoisejewelry #turquoiseterritory #cabsforsale #instasmithy #roystonturquoise #sonorangoldturquoise,C:\Users\Asus\AppData\Local\Instaloader\Data\bestdeals\2025-02-26_21-05-04_UTC.txt,natural australian opal doublets 435ct only 44 reference coin is a penny 19mm or 34 please claim with me or mine first class usps shipping 6 international shipping 23 canada 15 please send dm if international first one to claim me or mine wins natural bestdeals turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise,0,0,"one, shipping, australian, international, bestdeals, please, 15, turquoiseterritory, turquoise, dm, coin, cabsforsale, 6, claim, natural, first, sale, mine",Scam,natural australian opal doublets ct only  reference coin is a penny mm or  please claim with me or mine first class usps shipping  international shipping  canada  please send dm if international first one to claim me or mine wins natural bestdeals  turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier  turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise
bestdeals,Natural Australian opal doublets 5.44ct only $54 Reference coin is a penny 19mm or 3/4” please claim with me or mine First class usps shipping $6 international shipping $23 Canada $15 Please send dm if international first one to claim me or mine wins!!! #natural #bestdeals  #turquoise for sale #turquoiseterritory #turquoise over diamonds #cab #cabs #cabochon #cabochonmaker #cabsforsale #camericanturquoiseabsupplier # #turquoise #nevada #forsale #turquoiseoverdiamonds #cabsforsale #cabachonsupplier #cabachons #silversmith #turquoisejewelry #turquoiseterritory #cabsforsale #instasmithy #roystonturquoise #sonorangoldturquoise,C:\Users\Asus\AppData\Local\Instaloader\Data\bestdeals\2025-02-26_21-05-55_UTC.txt,natural australian opal doublets 544ct only 54 reference coin is a penny 19mm or 34 please claim with me or mine first class usps shipping 6 international shipping 23 canada 15 please send dm if international first one to claim me or mine wins natural bestdeals turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise,0,0,"one, shipping, australian, international, bestdeals, please, 15, turquoiseterritory, turquoise, dm, coin, cabsforsale, 6, claim, natural, first, sale, mine",Scam,natural australian opal doublets ct only  reference coin is a penny mm or  please claim with me or mine first class usps shipping  international shipping  canada  please send dm if international first one to claim me or mine wins natural bestdeals  turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier  turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise
bestdeals,Natural Australian opal doublets 2.2ct only $22 Reference coin is a penny 19mm or 3/4” please claim with me or mine First class usps shipping $6 international shipping $23 Canada $15 Please send dm if international first one to claim me or mine wins!!! #natural #bestdeals  #turquoise for sale #turquoiseterritory #turquoise over diamonds #cab #cabs #cabochon #cabochonmaker #cabsforsale #camericanturquoiseabsupplier # #turquoise #nevada #forsale #turquoiseoverdiamonds #cabsforsale #cabachonsupplier #cabachons #silversmith #turquoisejewelry #turquoiseterritory #cabsforsale #instasmithy #roystonturquoise #sonorangoldturquoise,C:\Users\Asus\AppData\Local\Instaloader\Data\bestdeals\2025-02-26_21-06-43_UTC.txt,natural australian opal doublets 22ct only 22 reference coin is a penny 19mm or 34 please claim with me or mine first class usps shipping 6 international shipping 23 canada 15 please send dm if international first one to claim me or mine wins natural bestdeals turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise,0,0,"one, shipping, australian, international, bestdeals, please, 15, turquoiseterritory, turquoise, dm, coin, cabsforsale, 6, claim, natural, first, sale, mine",Scam,natural australian opal doublets ct only  reference coin is a penny mm or  please claim with me or mine first class usps shipping  international shipping  canada  please send dm if international first one to claim me or mine wins natural bestdeals  turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier  turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise
bestdeals,Natural Australian opal doublet 15.92ct only $127 Reference coin is a penny 19mm or 3/4” please claim with me or mine First class usps shipping $6 international shipping $23 Canada $15 Please send dm if international first one to claim me or mine wins!!! #natural #bestdeals  #turquoise for sale #turquoiseterritory #turquoise over diamonds #cab #cabs #cabochon #cabochonmaker #cabsforsale #camericanturquoiseabsupplier # #turquoise #nevada #forsale #turquoiseoverdiamonds #cabsforsale #cabachonsupplier #cabachons #silversmith #turquoisejewelry #turquoiseterritory #cabsforsale #instasmithy #roystonturquoise #sonorangoldturquoise,C:\Users\Asus\AppData\Local\Instaloader\Data\bestdeals\2025-02-26_21-07-33_UTC.txt,natural australian opal doublet 1592ct only 127 reference coin is a penny 19mm or 34 please claim with me or mine first class usps shipping 6 international shipping 23 canada 15 please send dm if international first one to claim me or mine wins natural bestdeals turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise,0,0,"one, shipping, australian, international, bestdeals, please, 15, turquoiseterritory, turquoise, dm, coin, cabsforsale, 6, claim, natural, first, sale, mine",Scam,natural australian opal doublet ct only  reference coin is a penny mm or  please claim with me or mine first class usps shipping  international shipping  canada  please send dm if international first one to claim me or mine wins natural bestdeals  turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier  turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise
bestdeals,Natural Australian opal doublet 1.61ct only $16 Reference coin is a penny 19mm or 3/4” please claim with me or mine First class usps shipping $6 international shipping $23 Canada $15 Please send dm if international first one to claim me or mine wins!!! #natural #bestdeals  #turquoise for sale #turquoiseterritory #turquoise over diamonds #cab #cabs #cabochon #cabochonmaker #cabsforsale #camericanturquoiseabsupplier # #turquoise #nevada #forsale #turquoiseoverdiamonds #cabsforsale #cabachonsupplier #cabachons #silversmith #turquoisejewelry #turquoiseterritory #cabsforsale #instasmithy #roystonturquoise #sonorangoldturquoise,C:\Users\Asus\AppData\Local\Instaloader\Data\bestdeals\2025-02-26_21-08-34_UTC.txt,natural australian opal doublet 161ct only 16 reference coin is a penny 19mm or 34 please claim with me or mine first class usps shipping 6 international shipping 23 canada 15 please send dm if international first one to claim me or mine wins natural bestdeals turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise,0,0,"one, shipping, australian, international, bestdeals, please, 15, turquoiseterritory, turquoise, dm, coin, cabsforsale, 6, claim, natural, first, sale, mine",Scam,natural australian opal doublet ct only  reference coin is a penny mm or  please claim with me or mine first class usps shipping  international shipping  canada  please send dm if international first one to claim me or mine wins natural bestdeals  turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier  turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise
bestdeals,Natural Australian opal doublets 4.14ct only $40 Reference coin is a penny 19mm or 3/4” please claim with me or mine First class usps shipping $6 international shipping $23 Canada $15 Please send dm if international first one to claim me or mine wins!!! #natural #bestdeals  #turquoise for sale #turquoiseterritory #turquoise over diamonds #cab #cabs #cabochon #cabochonmaker #cabsforsale #camericanturquoiseabsupplier # #turquoise #nevada #forsale #turquoiseoverdiamonds #cabsforsale #cabachonsupplier #cabachons #silversmith #turquoisejewelry #turquoiseterritory #cabsforsale #instasmithy #roystonturquoise #sonorangoldturquoise,C:\Users\Asus\AppData\Local\Instaloader\Data\bestdeals\2025-02-26_21-10-13_UTC.txt,natural australian opal doublets 414ct only 40 reference coin is a penny 19mm or 34 please claim with me or mine first class usps shipping 6 international shipping 23 canada 15 please send dm if international first one to claim me or mine wins natural bestdeals turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise,0,0,"one, shipping, australian, international, bestdeals, please, 15, turquoiseterritory, turquoise, dm, coin, cabsforsale, 6, claim, natural, first, sale, mine",Scam,natural australian opal doublets ct only  reference coin is a penny mm or  please claim with me or mine first class usps shipping  international shipping  canada  please send dm if international first one to claim me or mine wins natural bestdeals  turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier  turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise
bestdeals,Natural Australian opal doublets 2.5ct only $25 Reference coin is a penny 19mm or 3/4” please claim with me or mine First class usps shipping $6 international shipping $23 Canada $15 Please send dm if international first one to claim me or mine wins!!! #natural #bestdeals  #turquoise for sale #turquoiseterritory #turquoise over diamonds #cab #cabs #cabochon #cabochonmaker #cabsforsale #camericanturquoiseabsupplier # #turquoise #nevada #forsale #turquoiseoverdiamonds #cabsforsale #cabachonsupplier #cabachons #silversmith #turquoisejewelry #turquoiseterritory #cabsforsale #instasmithy #roystonturquoise #sonorangoldturquoise,C:\Users\Asus\AppData\Local\Instaloader\Data\bestdeals\2025-02-26_21-11-00_UTC.txt,natural australian opal doublets 25ct only 25 reference coin is a penny 19mm or 34 please claim with me or mine first class usps shipping 6 international shipping 23 canada 15 please send dm if international first one to claim me or mine wins natural bestdeals turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise,0,0,"one, shipping, australian, international, bestdeals, please, 15, turquoiseterritory, turquoise, dm, coin, cabsforsale, 6, claim, natural, first, sale, mine",Scam,natural australian opal doublets ct only  reference coin is a penny mm or  please claim with me or mine first class usps shipping  international shipping  canada  please send dm if international first one to claim me or mine wins natural bestdeals  turquoise for sale turquoiseterritory turquoise over diamonds cab cabs cabochon cabochonmaker cabsforsale camericanturquoiseabsupplier  turquoise nevada forsale turquoiseoverdiamonds cabsforsale cabachonsupplier cabachons silversmith turquoisejewelry turquoiseterritory cabsforsale instasmithy roystonturquoise sonorangoldturquoise
